race,enroll,activity,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47
1,5,Working and related activities,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.05,0.08,0.1,0.13,0.15,0.17,0.18,0.19,0.19,0.21,0.2,0.21,0.19,0.21,0.2,0.21,0.21,0.23,0.22,0.22,0.2,0.19,0.16,0.15,0.12,0.12,0.11,0.1,0.09,0.09,0.08,0.07,0.05,0.04,0.03
1,5,Educational Activities,0.05,0.03,0.02,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.03,0.05,0.09,0.12,0.15,0.18,0.2,0.21,0.22,0.24,0.23,0.24,0.2,0.22,0.21,0.22,0.21,0.21,0.19,0.19,0.17,0.18,0.16,0.17,0.16,0.17,0.16,0.16,0.17,0.17,0.15,0.13,0.11,0.09,0.07
1,5,Eating and Drinking,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.03,0.06,0.06,0.09,0.09,0.12,0.09,0.1,0.08,0.1,0.12,0.22,0.22,0.18,0.12,0.12,0.09,0.07,0.06,0.07,0.09,0.14,0.17,0.22,0.23,0.21,0.16,0.14,0.1,0.08,0.06,0.04,0.04,0.03,0.02
1,5,Leisure and Sports,0.25,0.15,0.12,0.08,0.06,0.03,0.03,0.01,0.02,0.01,0.01,0.02,0.03,0.04,0.06,0.06,0.09,0.1,0.13,0.15,0.21,0.21,0.24,0.24,0.27,0.26,0.29,0.29,0.32,0.32,0.36,0.35,0.37,0.37,0.38,0.37,0.41,0.43,0.48,0.51,0.56,0.56,0.62,0.57,0.56,0.47,0.4,0.3
1,5,Traveling,0.04,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.05,0.08,0.13,0.16,0.17,0.15,0.16,0.14,0.16,0.19,0.18,0.18,0.26,0.21,0.22,0.2,0.22,0.22,0.26,0.24,0.24,0.26,0.26,0.26,0.26,0.2,0.19,0.18,0.17,0.14,0.14,0.11,0.11,0.08,0.06,0.05
1,5,Other,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.04,0.1,0.13,0.16,0.17,0.23,0.22,0.29,0.28,0.31,0.33,0.35,0.35,0.38,0.34,0.36,0.31,0.33,0.31,0.34,0.33,0.35,0.34,0.37,0.38,0.38,0.34,0.34,0.34,0.32,0.27,0.23,0.18,0.14,0.1,0.07,0.05
2,3,Sleeping,0.88,0.91,0.94,0.96,0.99,0.99,0.99,0.99,0.99,0.93,0.93,0.9,0.87,0.72,0.67,0.53,0.51,0.4,0.39,0.33,0.32,0.22,0.22,0.14,0.16,0.1,0.09,0.08,0.09,0.11,0.11,0.12,0.12,0.11,0.09,0.09,0.09,0.11,0.12,0.13,0.16,0.22,0.3,0.39,0.55,0.63,0.73,0.78
2,3,Grooming,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.11,0.18,0.19,0.19,0.09,0.11,0.08,0.06,0.08,0.1,0.07,0.11,0.09,0.11,0.05,0.03,0.04,0.05,0.04,0.04,0.05,0.07,0.05,0.06,0.07,0.1,0.08,0.1,0.07,0.1,0.1,0.15,0.11,0.11,0.06,0.04,0.02
2,3,Working and related activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.01,0.01,0.0,0.0,0.0
2,3,Educational Activities,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.17,0.24,0.29,0.32,0.35,0.33,0.33,0.33,0.32,0.31,0.33,0.31,0.35,0.33,0.34,0.27,0.24,0.16,0.11,0.1,0.11,0.1,0.09,0.08,0.09,0.09,0.09,0.07,0.04,0.04,0.03,0.03,0.02,0.01
2,3,Eating and Drinking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.07,0.11,0.08,0.06,0.07,0.08,0.03,0.07,0.07,0.09,0.12,0.17,0.14,0.11,0.04,0.07,0.07,0.07,0.09,0.12,0.11,0.12,0.07,0.11,0.11,0.15,0.11,0.09,0.06,0.07,0.07,0.04,0.02,0.01,0.0
2,3,Leisure and Sports,0.18,0.09,0.07,0.04,0.04,0.01,0.02,0.01,0.02,0.02,0.02,0.04,0.06,0.09,0.13,0.12,0.14,0.11,0.16,0.16,0.22,0.21,0.25,0.27,0.35,0.35,0.34,0.4,0.45,0.46,0.57,0.61,0.64,0.65,0.67,0.59,0.68,0.64,0.71,0.62,0.65,0.64,0.63,0.53,0.48,0.37,0.29,0.2
2,3,Traveling,0.02,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.03,0.12,0.2,0.29,0.17,0.16,0.13,0.09,0.09,0.11,0.11,0.13,0.11,0.14,0.13,0.13,0.14,0.23,0.28,0.27,0.24,0.15,0.16,0.21,0.16,0.18,0.13,0.13,0.1,0.1,0.1,0.11,0.06,0.07,0.02,0.04,0.02
2,3,Other,0.06,0.04,0.04,0.02,0.02,0.0,0.0,0.0,0.03,0.03,0.04,0.07,0.06,0.08,0.09,0.14,0.18,0.13,0.17,0.17,0.21,0.21,0.24,0.23,0.24,0.24,0.26,0.23,0.24,0.22,0.18,0.18,0.21,0.24,0.23,0.22,0.2,0.21,0.21,0.2,0.2,0.17,0.15,0.11,0.11,0.09,0.08,0.07
2,5,Sleeping,0.75,0.79,0.86,0.87,0.9,0.92,0.94,0.94,0.99,0.93,0.93,0.9,0.87,0.75,0.71,0.59,0.53,0.41,0.38,0.25,0.22,0.16,0.15,0.08,0.08,0.05,0.06,0.06,0.07,0.08,0.08,0.07,0.09,0.08,0.09,0.07,0.07,0.06,0.06,0.06,0.1,0.13,0.17,0.2,0.3,0.4,0.54,0.64
2,5,Grooming,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0.0,0.02,0.02,0.03,0.06,0.11,0.13,0.15,0.14,0.14,0.11,0.15,0.14,0.09,0.08,0.1,0.08,0.07,0.05,0.03,0.05,0.04,0.02,0.02,0.03,0.04,0.03,0.02,0.02,0.04,0.05,0.04,0.06,0.07,0.07,0.08,0.1,0.11,0.09,0.07,0.06
2,5,Working and related activities,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.05,0.07,0.08,0.1,0.14,0.16,0.16,0.17,0.19,0.2,0.21,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.23,0.22,0.23,0.2,0.18,0.16,0.14,0.13,0.11,0.1,0.1,0.08,0.07,0.06,0.06,0.05,0.05,0.04
2,5,Educational Activities,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.03,0.02,0.03,0.06,0.1,0.13,0.16,0.2,0.19,0.24,0.25,0.23,0.22,0.24,0.22,0.23,0.2,0.19,0.18,0.18,0.15,0.15,0.15,0.16,0.15,0.17,0.17,0.17,0.15,0.15,0.14,0.14,0.11,0.11,0.08,0.07,0.05
2,5,Eating and Drinking,0.02,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.05,0.03,0.07,0.07,0.06,0.05,0.06,0.05,0.06,0.06,0.14,0.15,0.12,0.1,0.11,0.09,0.12,0.09,0.09,0.09,0.09,0.1,0.17,0.15,0.13,0.12,0.13,0.09,0.06,0.05,0.04,0.03,0.02,0.01
2,5,Leisure and Sports,0.22,0.13,0.12,0.08,0.07,0.05,0.05,0.03,0.03,0.01,0.02,0.03,0.04,0.04,0.04,0.03,0.06,0.08,0.1,0.1,0.16,0.15,0.18,0.2,0.22,0.26,0.28,0.28,0.3,0.29,0.34,0.34,0.35,0.34,0.39,0.39,0.43,0.46,0.48,0.47,0.51,0.51,0.55,0.5,0.54,0.42,0.39,0.3
2,5,Traveling,0.06,0.02,0.04,0.03,0.03,0.01,0.0,0.01,0.01,0.0,0.01,0.03,0.06,0.09,0.17,0.21,0.16,0.17,0.15,0.16,0.17,0.18,0.18,0.15,0.22,0.23,0.27,0.24,0.26,0.23,0.26,0.22,0.24,0.22,0.22,0.25,0.27,0.18,0.17,0.12,0.16,0.15,0.15,0.09,0.12,0.08,0.1,0.08
2,5,Other,0.09,0.07,0.07,0.05,0.04,0.03,0.02,0.01,0.03,0.02,0.03,0.05,0.13,0.14,0.2,0.2,0.22,0.26,0.26,0.3,0.32,0.32,0.36,0.34,0.36,0.32,0.35,0.33,0.3,0.34,0.32,0.29,0.32,0.28,0.32,0.34,0.3,0.29,0.32,0.32,0.36,0.28,0.25,0.21,0.18,0.14,0.14,0.13
3,3,Sleeping,0.72,0.83,0.89,0.89,0.94,0.94,0.94,0.94,0.99,0.94,0.94,0.94,0.83,0.67,0.61,0.39,0.33,0.33,0.11,0.11,0.11,0.17,0.17,0.11,0.06,0.11,0.11,0.11,0.11,0.17,0.17,0.17,0.17,0.11,0.11,0.0,0.0,0.06,0.06,0.06,0.11,0.11,0.17,0.39,0.44,0.56,0.67,0.72
3,3,Grooming,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.33,0.39,0.44,0.11,0.06,0.22,0.11,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.11,0.11,0.06,0.06,0.11,0.17,0.06,0.06,0.06,0.0,0.11,0.33,0.33,0.17,0.0,0.06,0.06
3,3,Working and related activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,Educational Activities,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.33,0.44,0.39,0.39,0.39,0.39,0.39,0.44,0.39,0.39,0.39,0.39,0.39,0.39,0.44,0.28,0.17,0.22,0.28,0.28,0.11,0.28,0.28,0.33,0.33,0.28,0.22,0.11,0.11,0.11,0.06,0.06,0.06
3,3,Eating and Drinking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.06,0.0,0.11,0.17,0.11,0.17,0.11,0.28,0.44,0.28,0.06,0.0,0.11,0.17,0.11,0.11,0.11,0.17,0.11,0.22,0.22,0.11,0.0,0.22,0.11,0.11,0.06,0.06,0.06,0.0,0.06
3,3,Leisure and Sports,0.11,0.22,0.17,0.17,0.11,0.06,0.06,0.06,0.11,0.06,0.06,0.06,0.06,0.11,0.17,0.22,0.17,0.22,0.22,0.11,0.17,0.28,0.28,0.28,0.22,0.22,0.17,0.11,0.22,0.28,0.28,0.39,0.44,0.39,0.61,0.5,0.61,0.39,0.39,0.39,0.5,0.39,0.44,0.5,0.56,0.44,0.33,0.17
3,3,Traveling,0.06,0.11,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.28,0.61,0.61,0.17,0.11,0.11,0.17,0.17,0.06,0.11,0.22,0.39,0.22,0.17,0.33,0.22,0.39,0.72,0.61,0.17,0.22,0.33,0.33,0.39,0.22,0.17,0.17,0.28,0.33,0.33,0.17,0.06,0.11,0.0,0.0
3,3,Other,0.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.11,0.17,0.11,0.06,0.11,0.11,0.22,0.44,0.28,0.28,0.28,0.33,0.67,0.5,0.44,0.56,0.22,0.22,0.28,0.11,0.22,0.17,0.39,0.22,0.33,0.17,0.33,0.33,0.39,0.33,0.39,0.22,0.17,0.17,0.11,0.11
3,5,Sleeping,0.81,0.88,0.88,0.94,0.94,0.99,0.94,0.94,0.99,0.94,0.94,0.88,0.88,0.88,0.88,0.75,0.69,0.31,0.25,0.12,0.12,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.12,0.12,0.12,0.06,0.0,0.06,0.12,0.12,0.12,0.25,0.19,0.25,0.38,0.44,0.44,0.56,0.69
3,5,Grooming,0.0,0.06,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.06,0.19,0.25,0.25,0.12,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.06,0.06,0.06,0.0
3,5,Working and related activities,0.06,0.06,0.0,0.0,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.19,0.19,0.19,0.19,0.19,0.19,0.25,0.19,0.19,0.19,0.12,0.19,0.31,0.31,0.31,0.19,0.19,0.12,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
3,5,Educational Activities,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.19,0.25,0.25,0.25,0.25,0.31,0.25,0.25,0.25,0.19,0.19,0.19,0.19,0.12,0.19,0.25,0.19,0.31,0.25,0.12,0.12,0.19,0.25,0.12,0.06,0.06,0.06,0.0,0.06
3,5,Eating and Drinking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.06,0.12,0.12,0.06,0.25,0.31,0.12,0.25,0.25,0.19,0.19,0.12,0.19,0.12,0.06,0.06,0.19,0.19,0.19,0.12,0.12,0.12,0.25,0.12,0.12,0.0,0.0,0.0,0.0,0.0
3,5,Leisure and Sports,0.12,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.06,0.12,0.12,0.19,0.25,0.25,0.0,0.12,0.25,0.31,0.5,0.38,0.31,0.25,0.38,0.25,0.19,0.25,0.44,0.5,0.5,0.44,0.38,0.44,0.5,0.56,0.62,0.38,0.62,0.69,0.44,0.56,0.44,0.25
3,5,Traveling,0.0,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.06,0.19,0.12,0.06,0.19,0.25,0.12,0.12,0.12,0.06,0.12,0.38,0.44,0.31,0.12,0.06,0.19,0.19,0.31,0.19,0.19,0.31,0.31,0.25,0.12,0.06,0.25,0.31,0.12,0.06,0.0,0.0,0.0,0.0
3,5,Other,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.06,0.12,0.06,0.0,0.19,0.12,0.0,0.0,0.25,0.38,0.62,0.38,0.12,0.25,0.25,0.38,0.5,0.31,0.31,0.25,0.25,0.38,0.25,0.31,0.38,0.31,0.31,0.25,0.25,0.25,0.19,0.06,0.12,0.19,0.12,0.19,0.12
4,3,Sleeping,0.87,0.92,0.93,0.94,0.97,0.97,0.98,0.99,0.99,0.98,0.99,0.97,0.93,0.82,0.71,0.63,0.61,0.46,0.44,0.27,0.26,0.14,0.14,0.07,0.08,0.08,0.07,0.07,0.09,0.09,0.08,0.08,0.07,0.05,0.05,0.06,0.07,0.06,0.04,0.02,0.03,0.04,0.12,0.25,0.42,0.48,0.61,0.75
4,3,Grooming,0.02,0.02,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.13,0.21,0.18,0.05,0.1,0.08,0.1,0.05,0.07,0.06,0.06,0.06,0.03,0.07,0.03,0.02,0.04,0.08,0.08,0.08,0.07,0.04,0.03,0.03,0.05,0.06,0.08,0.1,0.07,0.05,0.11,0.16,0.12,0.12,0.12,0.09
4,3,Working and related activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.0
4,3,Educational Activities,0.07,0.04,0.04,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.05,0.15,0.28,0.35,0.37,0.41,0.46,0.54,0.53,0.5,0.48,0.52,0.45,0.43,0.42,0.42,0.39,0.3,0.3,0.29,0.29,0.28,0.25,0.26,0.24,0.22,0.25,0.31,0.33,0.33,0.25,0.24,0.16,0.13,0.09
4,3,Eating and Drinking,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.11,0.05,0.05,0.05,0.12,0.07,0.08,0.08,0.12,0.14,0.28,0.31,0.16,0.09,0.05,0.06,0.09,0.09,0.1,0.06,0.08,0.15,0.26,0.27,0.29,0.19,0.15,0.13,0.18,0.12,0.05,0.0,0.0,0.0
4,3,Leisure and Sports,0.16,0.08,0.05,0.04,0.04,0.02,0.02,0.01,0.0,0.0,0.0,0.02,0.01,0.07,0.1,0.12,0.1,0.1,0.15,0.16,0.21,0.19,0.25,0.25,0.3,0.3,0.34,0.34,0.37,0.42,0.43,0.5,0.61,0.57,0.58,0.53,0.6,0.58,0.61,0.56,0.59,0.65,0.65,0.53,0.52,0.41,0.34,0.24
4,3,Traveling,0.06,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.19,0.24,0.22,0.05,0.05,0.06,0.09,0.07,0.07,0.15,0.08,0.14,0.11,0.1,0.11,0.22,0.31,0.23,0.25,0.28,0.14,0.11,0.15,0.18,0.07,0.13,0.12,0.13,0.07,0.08,0.06,0.06,0.02,0.04,0.03
4,3,Other,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.06,0.11,0.09,0.08,0.06,0.04,0.07,0.13,0.15,0.16,0.15,0.19,0.2,0.17,0.18,0.22,0.25,0.22,0.2,0.2,0.18,0.25,0.18,0.22,0.17,0.22,0.14,0.17,0.15,0.18,0.14,0.14,0.13,0.09,0.07,0.07,0.09
4,5,Sleeping,0.68,0.77,0.82,0.83,0.89,0.92,0.96,0.97,0.99,0.94,0.94,0.91,0.91,0.87,0.84,0.71,0.67,0.56,0.52,0.3,0.26,0.19,0.16,0.09,0.09,0.06,0.08,0.09,0.11,0.11,0.1,0.13,0.13,0.1,0.12,0.11,0.11,0.08,0.07,0.03,0.04,0.03,0.05,0.1,0.22,0.29,0.45,0.54
4,5,Grooming,0.09,0.04,0.01,0.01,0.02,0.01,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.02,0.09,0.1,0.13,0.08,0.16,0.14,0.13,0.08,0.07,0.02,0.05,0.06,0.06,0.06,0.03,0.02,0.04,0.03,0.02,0.02,0.08,0.07,0.06,0.05,0.02,0.05,0.08,0.07,0.08,0.11,0.1,0.06,0.11,0.09
4,5,Working and related activities,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.04,0.03,0.03,0.03,0.05,0.07,0.07,0.1,0.11,0.13,0.14,0.13,0.14,0.13,0.11,0.1,0.11,0.13,0.12,0.1,0.1,0.11,0.13,0.09,0.07,0.06,0.05,0.05,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.02
4,5,Educational Activities,0.11,0.1,0.08,0.05,0.03,0.02,0.01,0.0,0.03,0.03,0.03,0.04,0.05,0.05,0.06,0.07,0.1,0.13,0.21,0.24,0.25,0.25,0.29,0.3,0.31,0.29,0.33,0.3,0.29,0.28,0.35,0.31,0.37,0.29,0.3,0.21,0.21,0.18,0.22,0.21,0.21,0.21,0.21,0.26,0.26,0.22,0.24,0.13
4,5,Eating and Drinking,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.02,0.03,0.04,0.05,0.07,0.1,0.1,0.18,0.13,0.1,0.1,0.17,0.14,0.29,0.29,0.34,0.24,0.11,0.07,0.07,0.06,0.06,0.05,0.11,0.2,0.25,0.25,0.27,0.25,0.26,0.22,0.2,0.11,0.06,0.02,0.02,0.02
4,5,Leisure and Sports,0.31,0.18,0.13,0.12,0.1,0.04,0.03,0.02,0.01,0.0,0.01,0.01,0.01,0.03,0.09,0.11,0.12,0.12,0.15,0.17,0.21,0.2,0.18,0.17,0.2,0.21,0.22,0.24,0.31,0.29,0.3,0.3,0.38,0.32,0.37,0.36,0.42,0.44,0.46,0.47,0.51,0.49,0.52,0.58,0.56,0.47,0.48,0.35
4,5,Traveling,0.03,0.02,0.02,0.0,0.03,0.03,0.02,0.01,0.02,0.01,0.01,0.03,0.02,0.04,0.06,0.07,0.13,0.11,0.09,0.17,0.21,0.16,0.16,0.13,0.17,0.17,0.23,0.24,0.19,0.13,0.23,0.14,0.22,0.16,0.24,0.17,0.22,0.17,0.13,0.13,0.13,0.1,0.15,0.17,0.16,0.06,0.1,0.03
4,5,Other,0.06,0.02,0.02,0.02,0.01,0.02,0.03,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.08,0.11,0.1,0.1,0.13,0.13,0.21,0.23,0.33,0.38,0.37,0.29,0.27,0.25,0.26,0.29,0.29,0.27,0.29,0.25,0.32,0.26,0.29,0.27,0.25,0.28,0.25,0.18,0.22,0.18,0.15,0.12,0.11,0.05
